name,recclass,mass (g),fall,date,year,reclat,reclong
New Baltimore,Iron ungrouped,20000,Found,1/1/1922,1922,40,-78.85
Tjerebon,L5,16500,Fell,1/1/1922,1922,-6.66667,106.58333
Dungannon,Iron IAB-MG,13000,Found,1/1/1922,1922,36.85,-82.45
Florence,H3,3640,Fell,1/1/1922,1922,30.83333,-97.76667
Hedeskoga,H5,3500,Fell,1/1/1922,1922,55.46667,13.78333
Mesa Verde Park,Iron IAB-ung,3500,Found,1/1/1922,1922,37.16667,-108.5
Morden,Iron IAB?,2426,Found,1/1/1922,1922,-30.5,142.33333
Nagai,L6,1810,Fell,1/1/1922,1922,38.12167,140.06167
Elsinora,H5,1797,Found,1/1/1922,1922,-29.45,143.6
Baldwyn,L6,345,Fell,1/1/1922,1922,34.5,-88.66667
Patti,Iron,12,Fell,1/1/1922,1922,38.13333,14.96667
Carbo,Iron IID,454000,Found,1/1/1923,1923,29.66667,-111.5
Montferré,H5,149000,Fell,1/1/1923,1923,43.39056,1.9625
Savannah,Iron IIIAB,60000,Found,1/1/1923,1923,35.16667,-88.18333
Woodward County,H4,45500,Found,1/1/1923,1923,36.5,-99.5
Nakhon Pathom,L6,23200,Fell,1/1/1923,1923,13.73333,100.08333
Coldwater (iron),Iron,18400,Found,1/1/1923,1923,37.26667,-99.33333
Dalgaranga,Mesosiderite-A,12200,Found,1/1/1923,1923,-27.71667,117.25
Seneca Township,Iron IVA,11500,Found,1/1/1923,1923,41.78333,-84.18333
Sierra Sandon,Iron IIIAB,6330,Found,1/1/1923,1923,-25.16667,-69.28333
Newport,Pallasite PMG,5600,Found,1/1/1923,1923,35.6,-91.26667
Goodland,L4,3628,Found,1/1/1923,1923,39.35,-101.66667
Serra de Magé,Eucrite-cm,1800,Fell,1/1/1923,1923,-8.38333,-36.76667
Holetta,Stone-uncl,1415,Fell,1/1/1923,1923,9.06667,38.41667
Allen,H4,1407,Found,1/1/1923,1923,33.1,-96.7
Ashdon,L6,1300,Fell,1/1/1923,1923,52.05,0.3
Birni N'konni,H4,560,Fell,1/1/1923,1923,13.76667,5.3
Huckitta,Pallasite PMG-an,2300000,Found,1/1/1924,1924,-22.36667,135.76667
Olivenza,LL5,150000,Fell,1/1/1924,1924,38.71667,-7.06667
Weekeroo Station,Iron IIE-an,94200,Found,1/1/1924,1924,-32.26667,139.86667
Johnstown,Diogenite,40300,Fell,1/1/1924,1924,40.35,-104.9
Lake Labyrinth,LL6,25850,Found,1/1/1924,1924,-30.53333,134.75
Four Corners,Iron IAB-ung,25000,Found,1/1/1924,1924,37,-109.05
Béréba,Eucrite-mmict,18000,Fell,1/1/1924,1924,11.65,-3.65
Achilles,H5,16000,Found,1/1/1924,1924,39.77667,-100.81333
